customerID,Evasao,Genero,Idoso,customer.Partner,customer.Dependents,Meses_como_cliente,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,Faturamento_Mensal,Faturamento_Total,Contas_Diarias
0042-JVWOJ,,Male,0,,,26,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Bank transfer (automatic),19.6,471.85,0.6533333333333334
0042-RLHYP,,Female,0,,,69,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),19.7,1396.9,0.6566666666666666
0047-ZHDTW,,Female,0,,,11,,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),79.0,929.3,2.6333333333333333
0048-LUMLS,,Male,0,,,37,,,Fiber optic,No,No,No,No,Yes,Yes,One year,,Credit card (automatic),91.2,3247.55,3.04
0048-PIHNL,,Female,0,,,49,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Bank transfer (automatic),20.45,900.9,0.6816666666666666
0052-DCKON,,Male,0,,,66,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),115.8,7942.15,3.86
0052-YNYOT,,Female,0,,,67,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Electronic check,20.55,1343.4,0.685
0056-EPFBG,,Male,0,,,20,,,DSL,Yes,No,Yes,Yes,No,No,Two year,,Credit card (automatic),39.4,825.4,1.3133333333333332
0057-QBUQH,,Female,0,,,43,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Electronic check,25.1,1070.15,0.8366666666666667
0058-EVZWM,,Female,0,,,55,,,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,,Bank transfer (automatic),89.8,4959.6,2.993333333333333
0060-FUALY,,Female,0,,,59,,,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,,Electronic check,94.75,5597.65,3.158333333333333
0064-SUDOG,,Female,0,,,12,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),20.3,224.5,0.6766666666666666
0064-YIJGF,,Male,0,,,27,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),75.75,1929,2.525
0067-DKWBL,,Male,1,,,2,,,DSL,Yes,No,No,No,No,No,Month-to-month,,Electronic check,49.25,91.1,1.6416666666666666
0068-FIGTF,,Female,0,,,27,,,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,,Mailed check,78.2,2078.95,2.606666666666667
0071-NDAFP,,Male,0,,,25,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),25.5,630.6,0.85
0074-HDKDG,,Male,0,,,25,,,DSL,Yes,Yes,Yes,No,No,No,One year,,Bank transfer (automatic),61.6,1611,2.0533333333333332
0076-LVEPS,,Male,0,,,29,,,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,,Mailed check,45.0,1242.45,1.5
0078-XZMHT,,Male,0,,,72,,,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),85.15,6316.2,2.8383333333333334
0080-EMYVY,,Female,0,,,14,,,DSL,No,Yes,No,No,No,No,One year,,Credit card (automatic),51.45,727.85,1.715
0080-OROZO,,Female,0,,,35,,,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,,Electronic check,99.25,3532,3.308333333333333
0082-LDZUE,,Male,0,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Mailed check,44.3,44.3,1.4766666666666666
0082-OQIQY,,Male,0,,,29,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Electronic check,94.2,2607.6,3.14
0083-PIVIK,,Male,0,,,64,,,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,,Electronic check,81.25,5567.55,2.7083333333333335
0089-IIQKO,,Female,0,,,39,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Credit card (automatic),99.95,3767.4,3.3316666666666666
0093-EXYQL,,Female,1,,,40,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,91.55,3673.6,3.0516666666666667
0093-XWZFY,,Male,0,,,40,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Credit card (automatic),104.5,4036.85,3.4833333333333334
0094-OIFMO,,Female,1,,,11,,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,95.0,1120.3,3.1666666666666665
0096-BXERS,,Female,0,,,6,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,50.35,314.55,1.6783333333333335
0096-FCPUF,,Male,0,,,30,,,DSL,Yes,No,No,No,No,Yes,Month-to-month,,Mailed check,64.5,1888.45,2.15
0098-BOWSO,,Male,0,,,27,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,19.4,529.8,0.6466666666666666
0100-DUVFC,,Male,1,,,70,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,,Electronic check,104.8,7308.95,3.493333333333333
0103-CSITQ,,Female,0,,,57,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),109.4,6252.7,3.646666666666667
0104-PPXDV,,Male,0,,,58,,,DSL,No,No,Yes,No,No,No,One year,,Credit card (automatic),50.3,2878.55,1.6766666666666665
0106-GHRQR,,Male,0,,,16,,,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,,Bank transfer (automatic),71.4,1212.1,2.3800000000000003
0106-UGRDO,,Female,0,,,69,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,116.0,8182.85,3.8666666666666667
0107-WESLM,,Male,0,,,1,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,19.85,19.85,0.6616666666666667
0107-YHINA,,Male,0,,,1,,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Electronic check,99.75,99.75,3.325
0111-KLBQG,,Male,1,,,32,,,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,,Mailed check,93.95,2861.45,3.131666666666667
0112-QAWRZ,,Male,0,,,16,,,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,,Bank transfer (automatic),90.8,1442.2,3.0266666666666664
0112-QWPNC,,Male,0,,,49,,,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,,Electronic check,84.35,4059.35,2.8116666666666665
0114-IGABW,,Female,0,,,71,,,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),58.25,4145.9,1.9416666666666667
0114-PEGZZ,,Female,0,,,33,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Electronic check,107.55,3645.5,3.585
0114-RSRRW,,Female,0,,,10,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Bank transfer (automatic),19.95,187.75,0.6649999999999999
0115-TFERT,,Male,0,,,21,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,111.2,2317.1,3.7066666666666666
0117-LFRMW,,Male,0,,,37,,,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,,Female,1,,,26,,,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,,Credit card (automatic),85.8,2193.65,2.86
0120-YZLQA,,Male,0,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),19.9,1355.1,0.6633333333333333
0121-SNYRK,,Male,0,,,50,,,DSL,Yes,No,No,Yes,No,No,One year,,Mailed check,35.4,1748.9,1.18
0122-OAHPZ,,Female,0,,,7,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,73.85,511.25,2.4616666666666664
0123-CRBRT,,Female,0,,,61,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Mailed check,88.1,5526.75,2.9366666666666665
0125-LZQXK,,Male,0,,,15,,,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,101.35,1553.95,3.378333333333333
0128-MKWSG,,Female,0,,,26,,,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,,Mailed check,45.8,1147,1.5266666666666666
0129-KPTWJ,,Male,0,,,72,,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,,Electronic check,94.65,6747.35,3.1550000000000002
0129-QMPDR,,Male,0,,,44,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Bank transfer (automatic),20.5,865.05,0.6833333333333333
0130-SXOUN,,Male,0,,,66,,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,,Credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,,Female,0,,,2,,,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,,Electronic check,86.25,181.65,2.875
0134-XWXCE,,Female,1,,,44,,,DSL,No,No,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),74.85,3268.05,2.4949999999999997
0135-NMXAP,,Female,0,,,12,,,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,,Bank transfer (automatic),89.75,1052.4,2.9916666666666667
0136-IFMYD,,Male,1,,,69,,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,109.95,7634.25,3.665
0137-OCGAB,,Female,0,,,1,,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,,Mailed check,80.2,80.2,2.6733333333333333
0137-UDEUO,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.85,63.75,0.6616666666666667
0139-IVFJG,,Female,0,,,2,,,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,,Electronic check,90.35,190.5,3.0116666666666663
0141-YEAYS,,Female,1,,,27,,,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),86.45,2401.05,2.881666666666667
0142-GVYSN,,Male,0,,,26,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,20.3,511.25,0.6766666666666666
0147-ESWWR,,Female,1,,,39,,,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,,Electronic check,101.25,3949.15,3.375
0148-DCDOS,,Male,0,,,25,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Bank transfer (automatic),94.7,2362.1,3.1566666666666667
0151-ONTOV,,Female,0,,,1,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Mailed check,70.9,70.9,2.3633333333333337
0154-QYHJU,,Male,0,,,29,,,DSL,Yes,Yes,No,Yes,No,No,One year,,Electronic check,58.75,1696.2,1.9583333333333333
0156-FVPTA,,Male,0,,,22,,,DSL,Yes,No,No,Yes,No,No,Month-to-month,,Electronic check,54.2,1152.7,1.8066666666666669
0162-RZGMZ,,Female,1,,,5,,,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,,Credit card (automatic),59.9,287.85,1.9966666666666666
0164-APGRB,,Female,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,114.9,8496.7,3.83
0164-XAIRP,,Female,0,,,24,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),19.55,470.2,0.6516666666666667
0168-XZKBB,,Female,0,,,19,,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,,Electronic check,86.85,1564.4,2.895
0174-QRVVY,,Male,0,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Credit card (automatic),25.35,1847.55,0.8450000000000001
0177-PXBAT,,Male,1,,,33,,,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,,Bank transfer (automatic),109.9,3694.7,3.6633333333333336
0178-CIIKR,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.95,58,0.6649999999999999
0178-SZBHO,,Male,0,,,47,,,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,,Electronic check,87.2,4017.45,2.9066666666666667
0181-RITDD,,Male,0,,,62,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Mailed check,108.15,6825.65,3.605
0186-CAERR,,Male,0,,,71,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),116.3,8309.55,3.8766666666666665
0187-QSXOE,,Male,1,,,7,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,89.0,605.45,2.966666666666667
0187-WZNAB,,Female,0,,,27,,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Mailed check,74.4,1972.35,2.48
0188-GWFLE,,Male,0,,,2,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,20.05,33.7,0.6683333333333333
0191-EQUUH,,Female,0,,,25,,,DSL,Yes,No,No,Yes,No,No,Two year,,Bank transfer (automatic),35.05,844.45,1.1683333333333332
0191-ZHSKZ,,Male,1,,,30,,,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,74.75,2111.3,2.4916666666666667
0193-ESZXP,,Female,1,,,58,,,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,,Credit card (automatic),105.5,6205.5,3.5166666666666666
0195-IESCP,,Male,0,,,10,,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,,Electronic check,85.25,855.3,2.841666666666667
0196-JTUQI,,Female,0,,,9,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Credit card (automatic),75.2,633.85,2.506666666666667
0196-VULGZ,,Female,1,,,6,,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,,Electronic check,84.35,474.9,2.8116666666666665
0197-PNKNK,,Female,0,,,69,,,Fiber optic,Yes,No,Yes,No,No,No,One year,,Bank transfer (automatic),84.45,5848.6,2.815
0201-MIBOL,,Female,1,,,66,,,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,,Bank transfer (automatic),102.4,6471.85,3.4133333333333336
0201-OAMXR,,Female,0,,,70,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,,Credit card (automatic),115.55,8127.6,3.8516666666666666
0203-HHYIJ,,Male,0,,,25,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Bank transfer (automatic),25.3,676.35,0.8433333333333334
0206-OYVOC,,Female,0,,,46,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,19.25,864.2,0.6416666666666667
0206-TBWLC,,Female,0,,,54,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,,Mailed check,114.65,6049.5,3.8216666666666668
0207-MDKNV,,Female,0,,,15,,,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,,Electronic check,105.1,1582.75,3.503333333333333
0208-BPQEJ,,Female,0,,,12,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Bank transfer (automatic),19.4,198.1,0.6466666666666666
0212-ISBBF,,Female,0,,,22,,,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,,Electronic check,50.35,1098.85,1.6783333333333335
0214-JHPFW,,Female,0,,,70,,,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),57.8,4039.3,1.9266666666666665
0215-BQKGS,,Male,0,,,30,,,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,,Credit card (automatic),84.3,2438.6,2.81
0218-QNVAS,,Male,0,,,71,,,Fiber optic,No,Yes,No,No,Yes,Yes,One year,,Bank transfer (automatic),100.55,7113.75,3.3516666666666666
0219-QAERP,,Male,0,,,30,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Credit card (automatic),19.8,576.65,0.66
0219-YTZUE,,Male,0,,,4,,,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),84.8,371.9,2.8266666666666667
0220-EBGCE,,Male,0,,,2,,,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,,Electronic check,85.85,167.3,2.8616666666666664
0221-NAUXK,,Male,0,,,10,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Bank transfer (automatic),19.95,219.5,0.6649999999999999
0221-WMXNQ,,Male,1,,,4,,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Electronic check,75.35,273.4,2.5116666666666663
0222-CNVPT,,Male,1,,,52,,,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,,Credit card (automatic),48.8,2555.05,1.6266666666666665
0224-HJAPT,,Male,0,,,5,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,47.15,223.15,1.5716666666666665
0224-NIJLP,,Male,0,,,8,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Mailed check,20.15,165.5,0.6716666666666666
0224-RLWWD,,Female,1,,,2,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,44.3,89.3,1.4766666666666666
0225-ZORZP,,Male,0,,,3,,,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,,Electronic check,84.3,235.05,2.81
0228-MAUWC,,Male,0,,,19,,,DSL,No,No,Yes,Yes,No,No,Month-to-month,,Electronic check,59.55,1144.6,1.9849999999999999
0229-LFJAF,,Male,0,,,72,,,DSL,Yes,Yes,Yes,Yes,No,No,Two year,,Bank transfer (automatic),69.65,4908.25,2.3216666666666668
0230-UBYPQ,,Male,1,,,63,,,DSL,Yes,No,No,Yes,No,No,One year,,Bank transfer (automatic),36.1,2298.9,1.2033333333333334
0230-WEQUW,,Male,0,,,66,,,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,,Bank transfer (automatic),56.6,3789.2,1.8866666666666667
0231-LXVAP,,Male,0,,,1,,,Fiber optic,No,No,No,Yes,No,No,Month-to-month,,Electronic check,75.9,75.9,2.5300000000000002
0233-FTHAV,,Female,0,,,60,,,Fiber optic,No,No,Yes,No,No,No,One year,,Bank transfer (automatic),79.2,4765,2.64
0234-TEVTT,,Female,0,,,48,,,DSL,Yes,No,Yes,No,No,Yes,One year,,Credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,,Female,0,,,1,,,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,,Credit card (automatic),85.55,85.55,2.8516666666666666
0236-HFWSV,,Male,0,,,15,,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,,Electronic check,93.35,1444.65,3.1116666666666664
0237-YFUTL,,Female,0,,,50,,,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,,Bank transfer (automatic),109.65,5405.8,3.6550000000000002
0238-WHBIQ,,Male,0,,,72,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),89.7,6339.3,2.99
0239-OXEXL,,Female,0,,,46,,,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,,Mailed check,84.25,3847.6,2.808333333333333
0244-LGNFY,,Female,0,,,72,,,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),92.65,6733,3.0883333333333334
0247-SLUJI,,Male,0,,,1,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Mailed check,19.7,19.7,0.6566666666666666
0248-IPDFW,,Female,0,,,1,,,DSL,No,No,No,No,No,No,Month-to-month,,Electronic check,50.1,50.1,1.6700000000000002
0248-PGHBZ,,Female,1,,,67,,,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,,Bank transfer (automatic),92.45,6140.85,3.0816666666666666
0253-ZTEOB,,Female,0,,,48,,,DSL,No,Yes,No,Yes,Yes,Yes,Two year,,Electronic check,79.65,3870.3,2.6550000000000002
0254-FNMCI,,Female,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Electronic check,109.9,7624.2,3.6633333333333336
0254-KCJGT,,Male,0,,,52,,,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,,Credit card (automatic),81.4,4354.45,2.7133333333333334
0254-WWRKD,,Female,0,,,67,,,DSL,No,Yes,No,No,No,No,One year,,Credit card (automatic),50.55,3431.75,1.6849999999999998
0256-LTHVJ,,Female,0,,,28,,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,,Electronic check,81.05,2227.1,2.7016666666666667
0257-KXZGU,,Female,0,,,32,,,DSL,No,Yes,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),62.45,2045.55,2.0816666666666666
0257-ZESQC,,Female,1,,,27,,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,,Bank transfer (automatic),75.2,1929.35,2.506666666666667
0258-NOKBL,,Male,0,,,3,,,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,,Electronic check,90.4,268.45,3.0133333333333336
0259-GBZSH,,Male,0,,,2,,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,,Electronic check,85.65,181.5,2.855
0260-ZDLGK,,Female,0,,,9,,,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,,Mailed check,72.9,651.4,2.43
0263-FJTQO,,Male,0,,,50,,,DSL,Yes,No,No,Yes,Yes,No,Two year,,Credit card (automatic),70.5,3486.65,2.35
0264-CNITK,,Female,0,,,71,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,,Bank transfer (automatic),20.1,1389.6,0.67
0265-EDXBD,,Male,1,,,32,,,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,74.9,2303.35,2.496666666666667
0265-PSUAE,,Female,0,,,16,,,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,,Bank transfer (automatic),100.7,1522.7,3.356666666666667
0266-CLZKZ,,Female,0,,,67,,,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,,Bank transfer (automatic),105.65,6717.9,3.521666666666667
0266-GMEAO,,Male,0,,,72,,,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,,Credit card (automatic),114.3,8058.55,3.81
0268-QKIWO,,Female,0,,,3,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,,Electronic check,19.75,58.85,0.6583333333333333
0269-XFESX,,Male,0,,,23,,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,24.35,538.5,0.8116666666666668
0270-THENM,,Male,0,,,72,,,DSL,Yes,Yes,Yes,Yes,No,No,Two year,,Bank transfer (automatic),69.85,5102.35,2.328333333333333
0274-JKUJR,,Male,0,,,7,,,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,,Mailed check,58.85,465.7,1.9616666666666667
0274-VVQOQ,,Male,1,,,65,,,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,,Bank transfer (automatic),103.15,6792.45,3.4383333333333335
